row,rows,ctx_first,ctx_last,gen_first,gen_8192,gen_last,gen_mean,gen_max,gen_ss_mean,prefill_mean,prefill_max
exact_fast,1,8192,8192,16.24,16.24,16.24,16.24,16.24,16.24,392.27,392.27
soa_all,1,8192,8192,16.07,16.07,16.07,16.07,16.07,16.07,390.62,390.62
