row,rows,ctx_first,ctx_last,gen_first,gen_8192,gen_last,gen_mean,gen_max,gen_ss_mean,prefill_mean,prefill_max
exact_fast,1,8192,8192,16.08,16.08,16.08,16.08,16.08,16.08,391.77,391.77
moe_gate_conststride_soa_b_forced,1,8192,8192,15.95,15.95,15.95,15.95,15.95,15.95,387.85,387.85
moe_gate_shape2048_conststride,1,8192,8192,16.11,16.11,16.11,16.11,16.11,16.11,387.7,387.7
soa_b_forced,1,8192,8192,15.85,15.85,15.85,15.85,15.85,15.85,388.86,388.86
