row,rows,ctx_first,ctx_last,gen_first,gen_8192,gen_last,gen_mean,gen_max,gen_ss_mean,prefill_mean,prefill_max
attn_a_shape8192,1,8192,8192,16.08,16.08,16.08,16.08,16.08,16.08,391.28,391.28
exact_fast,1,8192,8192,16.1,16.1,16.1,16.1,16.1,16.1,394.02,394.02
