row,rows,ctx_first,ctx_last,gen_first,gen_8192,gen_last,gen_mean,gen_max,gen_ss_mean,prefill_mean,prefill_max
exact_fast,1,8192,8192,16.09,16.09,16.09,16.09,16.09,16.09,393.72,393.72
moe_gate_prefer_l1,1,8192,8192,16.02,16.02,16.02,16.02,16.02,16.02,390.49,390.49
moe_gate_shape2048,1,8192,8192,16.22,16.22,16.22,16.22,16.22,16.22,389.61,389.61
moe_gate_shape2048_l1,1,8192,8192,16.21,16.21,16.21,16.21,16.21,16.21,389.25,389.25
