row,rows,ctx_first,ctx_last,gen_first,gen_8192,gen_last,gen_mean,gen_max,gen_ss_mean,prefill_mean,prefill_max
exact_fast,1,8192,8192,15.95,15.95,15.95,15.95,15.95,15.95,393.04,393.04
shared_gate_up_pair_pack,1,8192,8192,15.38,15.38,15.38,15.38,15.38,15.38,388.87,388.87
