ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,385.24,128,18.19,71.879,127,18.35,52184460
10240,8192,370.72,128,15.48,66.853,127,15.56,164939148
18432,8192,356.86,128,15.44,65.189,127,15.52,277693836
26624,8192,344.91,128,15.28,67.273,127,15.37,390448524
34816,8192,331.01,128,14.70,69.607,127,14.78,503203212
43008,8192,313.87,128,14.56,69.580,127,14.63,615957900
51200,8192,303.91,128,14.43,69.609,127,14.50,728712588
59392,8192,293.54,128,14.26,71.863,127,14.34,841467276
65536,6144,287.63,128,14.15,73.007,127,14.22,0
