row,rows,ctx_first,ctx_last,gen_first,gen_8192,gen_last,gen_mean,gen_max,gen_ss_mean,prefill_mean,prefill_max
exact_fast,1,8192,8192,16.06,16.06,16.06,16.06,16.06,16.06,391.77,391.77
hc_expand_soa_par_hc4,1,8192,8192,15.91,15.91,15.91,15.91,15.91,15.91,389.54,389.54
