row,rows,ctx_first,ctx_last,gen_first,gen_8192,gen_last,gen_mean,gen_max,gen_ss_mean,prefill_mean,prefill_max
exact_fast_after_codegen_revert,1,8192,8192,15.96,15.96,15.96,15.96,15.96,15.96,389.8,389.8
exact_fast,1,8192,8192,16.28,16.28,16.28,16.28,16.28,16.28,392.16,392.16
