row,rows,ctx_first,ctx_last,gen_first,gen_8192,gen_last,gen_mean,gen_max,gen_ss_mean,prefill_mean,prefill_max
exact_fast,1,8192,8192,15.95,15.95,15.95,15.95,15.95,15.95,391.95,391.95
mmq_q8_dense_vec_attn_q_b_persist,1,8192,8192,15.72,15.72,15.72,15.72,15.72,15.72,389.5,389.5
