name,returncode,generated_tokens,trace_tps,trace_interval_tps,trace_span_s,elapsed_s,peak_rss_gib,peak_cuda_gib,peak_mem_used_gib,peak_mem_total_minus_available_gib,run_dir,env
0ee3c82_graph_indexer_down_tile8_rowspan,0,256,15.60119446645134,15.540252300566763,16.409,38.68420052528381,0.6832542419433594,103.203125,109.01496124267578,109.01496124267578,/home/alessandro/projects/ds4-stepwise/tuning/agent_stepwise_runs/results/20260526_005302_0ee3c82_graph_indexer_down_tile8_rowspan,"{""DS4_CUDA_GRAPH_DECODE"": ""1"", ""DS4_CUDA_INDEXER_SCORE_TOPK_FUSED"": ""1"", ""DS4_CUDA_MOE_DOWN_TILE8_ROWSPAN"": ""1""}"
0ee3c82_graph_no_q8_cache_x,0,197,15.541180183023036,15.462290943515304,12.676,34.5396773815155,0.6830635070800781,103.203125,108.98585510253906,108.98585510253906,/home/alessandro/projects/ds4-stepwise/tuning/agent_stepwise_runs/results/20260526_005341_0ee3c82_graph_no_q8_cache_x,"{""DS4_CUDA_GRAPH_DECODE"": ""1"", ""DS4_CUDA_NO_Q8_CACHE_X"": ""1""}"
origin_main_no_env,0,256,13.799795159290605,13.745889709449626,18.551,42.81813645362854,0.8255348205566406,103.19921875,109.39289093017578,109.39289093017578,/home/alessandro/projects/ds4-stepwise/tuning/agent_stepwise_runs/results/20260526_005503_origin_main_no_env,{}
01662bc_tune_f16_decode_no_env,0,256,14.321678321678322,14.265734265734265,17.875,40.204365491867065,0.6702461242675781,103.19921875,109.52034378051758,109.52034378051758,/home/alessandro/projects/ds4-stepwise/tuning/agent_stepwise_runs/results/20260526_005556_01662bc_tune_f16_decode_no_env,{}
5ee0970_q8_cache_x_no_env,0,256,14.501784399252253,14.445136803942674,17.653,40.76044750213623,0.6703605651855469,103.19921875,109.36237716674805,109.36237716674805,/home/alessandro/projects/ds4-stepwise/tuning/agent_stepwise_runs/results/20260526_005646_5ee0970_q8_cache_x_no_env,{}
81a1a3b_fused_hc_rope_no_env,0,256,15.422615820230135,15.36237122718236,16.599,39.88622832298279,0.6708984375,103.19921875,109.4055290222168,109.4055290222168,/home/alessandro/projects/ds4-stepwise/tuning/agent_stepwise_runs/results/20260526_005737_81a1a3b_fused_hc_rope_no_env,{}
81a1a3b_fused_hc_rope_no_hcpre,0,256,14.545454545454545,14.488636363636363,17.6,39.81276249885559,0.6708946228027344,103.19921875,109.04407119750977,109.04407119750977,/home/alessandro/projects/ds4-stepwise/tuning/agent_stepwise_runs/results/20260526_005817_81a1a3b_fused_hc_rope_no_hcpre,"{""DS4_CUDA_NO_FUSED_HC_PRE"": ""1""}"
81a1a3b_fused_hc_rope_no_qnorm,0,256,15.376298876809416,15.31623520932188,16.649,38.804959774017334,0.6709480285644531,103.19921875,108.94517135620117,108.94517135620117,/home/alessandro/projects/ds4-stepwise/tuning/agent_stepwise_runs/results/20260526_005857_81a1a3b_fused_hc_rope_no_qnorm,"{""DS4_CUDA_NO_Q_NORM_ROPE_FUSED"": ""1""}"
81a1a3b_fused_hc_rope_no_kvrope,0,256,15.35232383808096,15.292353823088455,16.675,39.23604607582092,0.6709022521972656,103.19921875,108.9559440612793,108.9559440612793,/home/alessandro/projects/ds4-stepwise/tuning/agent_stepwise_runs/results/20260526_005936_81a1a3b_fused_hc_rope_no_kvrope,"{""DS4_CUDA_NO_KV_ROPE_STORE_FUSED"": ""1""}"
81a1a3b_fused_hc_rope_no_attnrope,0,256,15.342203044468416,15.282272563825963,16.686,38.77974987030029,0.6710014343261719,103.19921875,108.95231628417969,108.95231628417969,/home/alessandro/projects/ds4-stepwise/tuning/agent_stepwise_runs/results/20260526_010015_81a1a3b_fused_hc_rope_no_attnrope,"{""DS4_CUDA_NO_ATTN_OUTPUT_ROPE_LOW_FUSED"": ""1""}"
bcc390e_skip_ordered_no_env,0,256,15.400348914155085,15.340191301209167,16.623,38.722983598709106,0.6707801818847656,103.19921875,109.26010131835938,109.26010131835938,/home/alessandro/projects/ds4-stepwise/tuning/agent_stepwise_runs/results/20260526_010104_bcc390e_skip_ordered_no_env,{}
dbb6cd7_moe_tile8_no_env,0,256,15.391090001803644,15.330968556484098,16.633,38.76703381538391,0.6723556518554688,103.19921875,109.1707878112793,109.1707878112793,/home/alessandro/projects/ds4-stepwise/tuning/agent_stepwise_runs/results/20260526_010154_dbb6cd7_moe_tile8_no_env,{}
dbb6cd7_moe_tile8_enabled,0,256,15.399422521655438,15.339268527430223,16.624,39.26092553138733,0.6723480224609375,103.19921875,108.95553588867188,108.95553588867188,/home/alessandro/projects/ds4-stepwise/tuning/agent_stepwise_runs/results/20260526_010233_dbb6cd7_moe_tile8_enabled,"{""DS4_CUDA_MOE_DOWN_TILE8_ROWSPAN"": ""1""}"
cfd44c3_graph_update_no_env,0,256,15.218166686481988,15.158720722862919,16.822,40.1911096572876,0.6667671203613281,103.201171875,109.2441177368164,109.2441177368164,/home/alessandro/projects/ds4-stepwise/tuning/agent_stepwise_runs/results/20260526_010323_cfd44c3_graph_update_no_env,{}
cfd44c3_graph_update_graph,0,256,15.469212641247205,15.408786029367334,16.549,38.77202391624451,0.6828727722167969,103.203125,108.99904251098633,108.99904251098633,/home/alessandro/projects/ds4-stepwise/tuning/agent_stepwise_runs/results/20260526_010403_cfd44c3_graph_update_graph,"{""DS4_CUDA_GRAPH_DECODE"": ""1""}"
old_pr_no_env,0,256,13.596770766942852,13.543658381134481,18.828,43.831538677215576,0.8354873657226562,103.201171875,109.2646484375,109.2646484375,/home/alessandro/projects/ds4-stepwise/tuning/agent_stepwise_runs/results/20260526_010453_old_pr_no_env,{}
old_pr_graph,0,256,13.80649336641139,13.752561751698845,18.542,40.83984851837158,0.6915626525878906,103.2041015625,109.04080581665039,109.04080581665039,/home/alessandro/projects/ds4-stepwise/tuning/agent_stepwise_runs/results/20260526_010536_old_pr_graph,"{""DS4_CUDA_GRAPH_DECODE"": ""1""}"
old_pr_graph_soa_indexer,-11,0,0.0,0.0,0.0,22.8600971698761,0.6732101440429688,103.201171875,109.02198791503906,109.02198791503906,/home/alessandro/projects/ds4-stepwise/tuning/agent_stepwise_runs/results/20260526_010617_old_pr_graph_soa_indexer,"{""DS4_CUDA_GRAPH_DECODE"": ""1"", ""DS4_CUDA_Q8_SOA_CACHE"": ""1"", ""DS4_CUDA_INDEXER_SCORE_TOPK_FUSED"": ""1""}"
