row,rows,ctx_first,ctx_last,gen_first,gen_8192,gen_last,gen_mean,gen_max,gen_ss_mean,prefill_mean,prefill_max
exact_fast,1,65536,65536,13.46,,13.46,13.46,13.46,13.46,337.4,337.4
indexer_topk_chunk8192,1,65536,65536,13.36,,13.36,13.36,13.36,13.36,333.03,333.03
