row,rows,ctx_first,ctx_last,gen_first,gen_8192,gen_last,gen_mean,gen_max,gen_ss_mean,prefill_mean,prefill_max
exact_fast,1,8192,8192,16.12,16.12,16.12,16.12,16.12,16.12,393.11,393.11
output_q8_b128,1,8192,8192,16.1,16.1,16.1,16.1,16.1,16.1,389.28,389.28
