ds4-bench: context buffers 1896.58 MiB (ctx=100000, backend=cuda, prefill_chunk=2048, raw_kv_rows=2304, compressed_kv_rows=25002)
ds4: CUDA backend initialized on NVIDIA GB10 (sm_121)
ds4: CUDA using unordered one-token F16 matmul (Blackwell sm_121)
ds4: CUDA host registration skipped: operation not supported
ds4: CUDA loading model tensors into device cache
ds4: CUDA loading model tensors 16.02 GiB cached
ds4: CUDA loading model tensors 32.06 GiB cached
ds4: CUDA loading model tensors 48.02 GiB cached
ds4: CUDA loading model tensors 64.06 GiB cached
ds4: CUDA loading model tensors 80.04 GiB cached
ds4: CUDA startup model cache prepared 80.76 GiB of tensor spans in 19.513s
ds4: cuda backend initialized for graph diagnostics
ds4: metal indexer stage layer=2 pos=4096 tokens=2048 comp=1536 score=4.181 ms
ds4: metal indexer stage layer=2 pos=4096 tokens=2048 comp=1536 topk=1.803 ms
ds4: metal indexer stage layer=2 pos=4096 tokens=2048 comp=1536 attention=26.891 ms
ds4: metal indexer stage layer=4 pos=4096 tokens=2048 comp=1536 score=4.795 ms
ds4: metal indexer stage layer=4 pos=4096 tokens=2048 comp=1536 topk=1.269 ms
ds4: metal indexer stage layer=4 pos=4096 tokens=2048 comp=1536 attention=26.835 ms
ds4: metal indexer stage layer=6 pos=4096 tokens=2048 comp=1536 score=4.459 ms
ds4: metal indexer stage layer=6 pos=4096 tokens=2048 comp=1536 topk=1.265 ms
ds4: metal indexer stage layer=6 pos=4096 tokens=2048 comp=1536 attention=26.570 ms
ds4: metal indexer stage layer=8 pos=4096 tokens=2048 comp=1536 score=4.173 ms
ds4: metal indexer stage layer=8 pos=4096 tokens=2048 comp=1536 topk=1.265 ms
ds4: metal indexer stage layer=8 pos=4096 tokens=2048 comp=1536 attention=27.139 ms
ds4: metal indexer stage layer=10 pos=4096 tokens=2048 comp=1536 score=4.184 ms
ds4: metal indexer stage layer=10 pos=4096 tokens=2048 comp=1536 topk=1.267 ms
ds4: metal indexer stage layer=10 pos=4096 tokens=2048 comp=1536 attention=26.824 ms
ds4: metal indexer stage layer=12 pos=4096 tokens=2048 comp=1536 score=4.213 ms
ds4: metal indexer stage layer=12 pos=4096 tokens=2048 comp=1536 topk=1.264 ms
ds4: metal indexer stage layer=12 pos=4096 tokens=2048 comp=1536 attention=26.860 ms
ds4: metal indexer stage layer=14 pos=4096 tokens=2048 comp=1536 score=4.460 ms
ds4: metal indexer stage layer=14 pos=4096 tokens=2048 comp=1536 topk=1.267 ms
ds4: metal indexer stage layer=14 pos=4096 tokens=2048 comp=1536 attention=26.825 ms
ds4: metal indexer stage layer=16 pos=4096 tokens=2048 comp=1536 score=4.187 ms
ds4: metal indexer stage layer=16 pos=4096 tokens=2048 comp=1536 topk=1.266 ms
ds4: metal indexer stage layer=16 pos=4096 tokens=2048 comp=1536 attention=27.008 ms
ds4: metal indexer stage layer=18 pos=4096 tokens=2048 comp=1536 score=4.177 ms
ds4: metal indexer stage layer=18 pos=4096 tokens=2048 comp=1536 topk=1.266 ms
ds4: metal indexer stage layer=18 pos=4096 tokens=2048 comp=1536 attention=26.850 ms
ds4: metal indexer stage layer=20 pos=4096 tokens=2048 comp=1536 score=4.192 ms
ds4: metal indexer stage layer=20 pos=4096 tokens=2048 comp=1536 topk=1.266 ms
ds4: metal indexer stage layer=20 pos=4096 tokens=2048 comp=1536 attention=26.844 ms
ds4: metal indexer stage layer=22 pos=4096 tokens=2048 comp=1536 score=4.773 ms
ds4: metal indexer stage layer=22 pos=4096 tokens=2048 comp=1536 topk=1.267 ms
ds4: metal indexer stage layer=22 pos=4096 tokens=2048 comp=1536 attention=26.840 ms
ds4: metal indexer stage layer=24 pos=4096 tokens=2048 comp=1536 score=4.440 ms
ds4: metal indexer stage layer=24 pos=4096 tokens=2048 comp=1536 topk=1.266 ms
ds4: metal indexer stage layer=24 pos=4096 tokens=2048 comp=1536 attention=26.835 ms
ds4: metal indexer stage layer=26 pos=4096 tokens=2048 comp=1536 score=4.191 ms
ds4: metal indexer stage layer=26 pos=4096 tokens=2048 comp=1536 topk=1.267 ms
ds4: metal indexer stage layer=26 pos=4096 tokens=2048 comp=1536 attention=27.148 ms
ds4: metal indexer stage layer=28 pos=4096 tokens=2048 comp=1536 score=4.218 ms
ds4: metal indexer stage layer=28 pos=4096 tokens=2048 comp=1536 topk=1.268 ms
ds4: metal indexer stage layer=28 pos=4096 tokens=2048 comp=1536 attention=26.859 ms
ds4: metal indexer stage layer=30 pos=4096 tokens=2048 comp=1536 score=4.208 ms
ds4: metal indexer stage layer=30 pos=4096 tokens=2048 comp=1536 topk=1.266 ms
ds4: metal indexer stage layer=30 pos=4096 tokens=2048 comp=1536 attention=26.839 ms
ds4: metal indexer stage layer=32 pos=4096 tokens=2048 comp=1536 score=4.465 ms
ds4: metal indexer stage layer=32 pos=4096 tokens=2048 comp=1536 topk=1.266 ms
ds4: metal indexer stage layer=32 pos=4096 tokens=2048 comp=1536 attention=26.991 ms
ds4: metal indexer stage layer=34 pos=4096 tokens=2048 comp=1536 score=4.164 ms
ds4: metal indexer stage layer=34 pos=4096 tokens=2048 comp=1536 topk=1.265 ms
ds4: metal indexer stage layer=34 pos=4096 tokens=2048 comp=1536 attention=27.138 ms
ds4: metal indexer stage layer=36 pos=4096 tokens=2048 comp=1536 score=4.206 ms
ds4: metal indexer stage layer=36 pos=4096 tokens=2048 comp=1536 topk=1.266 ms
ds4: metal indexer stage layer=36 pos=4096 tokens=2048 comp=1536 attention=26.857 ms
ds4: metal indexer stage layer=38 pos=4096 tokens=2048 comp=1536 score=4.266 ms
ds4: metal indexer stage layer=38 pos=4096 tokens=2048 comp=1536 topk=1.267 ms
ds4: metal indexer stage layer=38 pos=4096 tokens=2048 comp=1536 attention=26.878 ms
ds4: metal indexer stage layer=40 pos=4096 tokens=2048 comp=1536 score=4.459 ms
ds4: metal indexer stage layer=40 pos=4096 tokens=2048 comp=1536 topk=1.266 ms
ds4: metal indexer stage layer=40 pos=4096 tokens=2048 comp=1536 attention=26.620 ms
ds4: metal indexer stage layer=42 pos=4096 tokens=2048 comp=1536 score=4.201 ms
ds4: metal indexer stage layer=42 pos=4096 tokens=2048 comp=1536 topk=1.265 ms
ds4: metal indexer stage layer=42 pos=4096 tokens=2048 comp=1536 attention=27.120 ms
ds4: metal indexer stage layer=2 pos=6144 tokens=2048 comp=2048 score=5.717 ms
ds4: metal indexer stage layer=2 pos=6144 tokens=2048 comp=2048 topk=1.263 ms
ds4: metal indexer stage layer=2 pos=6144 tokens=2048 comp=2048 attention=26.844 ms
ds4: metal indexer stage layer=4 pos=6144 tokens=2048 comp=2048 score=5.692 ms
ds4: metal indexer stage layer=4 pos=6144 tokens=2048 comp=2048 topk=1.264 ms
ds4: metal indexer stage layer=4 pos=6144 tokens=2048 comp=2048 attention=27.010 ms
ds4: metal indexer stage layer=6 pos=6144 tokens=2048 comp=2048 score=5.678 ms
ds4: metal indexer stage layer=6 pos=6144 tokens=2048 comp=2048 topk=1.262 ms
ds4: metal indexer stage layer=6 pos=6144 tokens=2048 comp=2048 attention=26.840 ms
ds4: metal indexer stage layer=8 pos=6144 tokens=2048 comp=2048 score=5.725 ms
ds4: metal indexer stage layer=8 pos=6144 tokens=2048 comp=2048 topk=1.263 ms
ds4: metal indexer stage layer=8 pos=6144 tokens=2048 comp=2048 attention=45.277 ms
ds4: metal indexer stage layer=10 pos=6144 tokens=2048 comp=2048 score=5.998 ms
ds4: metal indexer stage layer=10 pos=6144 tokens=2048 comp=2048 topk=1.264 ms
ds4: metal indexer stage layer=10 pos=6144 tokens=2048 comp=2048 attention=26.880 ms
ds4: metal indexer stage layer=12 pos=6144 tokens=2048 comp=2048 score=5.711 ms
ds4: metal indexer stage layer=12 pos=6144 tokens=2048 comp=2048 topk=1.266 ms
ds4: metal indexer stage layer=12 pos=6144 tokens=2048 comp=2048 attention=27.077 ms
ds4: metal indexer stage layer=14 pos=6144 tokens=2048 comp=2048 score=5.707 ms
ds4: metal indexer stage layer=14 pos=6144 tokens=2048 comp=2048 topk=1.264 ms
ds4: metal indexer stage layer=14 pos=6144 tokens=2048 comp=2048 attention=26.879 ms
ds4: metal indexer stage layer=16 pos=6144 tokens=2048 comp=2048 score=5.752 ms
ds4: metal indexer stage layer=16 pos=6144 tokens=2048 comp=2048 topk=1.261 ms
ds4: metal indexer stage layer=16 pos=6144 tokens=2048 comp=2048 attention=26.869 ms
ds4: metal indexer stage layer=18 pos=6144 tokens=2048 comp=2048 score=5.715 ms
ds4: metal indexer stage layer=18 pos=6144 tokens=2048 comp=2048 topk=1.262 ms
ds4: metal indexer stage layer=18 pos=6144 tokens=2048 comp=2048 attention=27.114 ms
ds4: metal indexer stage layer=20 pos=6144 tokens=2048 comp=2048 score=5.718 ms
ds4: metal indexer stage layer=20 pos=6144 tokens=2048 comp=2048 topk=1.263 ms
ds4: metal indexer stage layer=20 pos=6144 tokens=2048 comp=2048 attention=26.858 ms
ds4: metal indexer stage layer=22 pos=6144 tokens=2048 comp=2048 score=5.719 ms
ds4: metal indexer stage layer=22 pos=6144 tokens=2048 comp=2048 topk=1.262 ms
ds4: metal indexer stage layer=22 pos=6144 tokens=2048 comp=2048 attention=26.886 ms
ds4: metal indexer stage layer=24 pos=6144 tokens=2048 comp=2048 score=5.717 ms
ds4: metal indexer stage layer=24 pos=6144 tokens=2048 comp=2048 topk=1.261 ms
ds4: metal indexer stage layer=24 pos=6144 tokens=2048 comp=2048 attention=26.881 ms
ds4: metal indexer stage layer=26 pos=6144 tokens=2048 comp=2048 score=6.346 ms
ds4: metal indexer stage layer=26 pos=6144 tokens=2048 comp=2048 topk=1.260 ms
ds4: metal indexer stage layer=26 pos=6144 tokens=2048 comp=2048 attention=26.574 ms
ds4: metal indexer stage layer=28 pos=6144 tokens=2048 comp=2048 score=5.944 ms
ds4: metal indexer stage layer=28 pos=6144 tokens=2048 comp=2048 topk=1.262 ms
ds4: metal indexer stage layer=28 pos=6144 tokens=2048 comp=2048 attention=27.045 ms
ds4: metal indexer stage layer=30 pos=6144 tokens=2048 comp=2048 score=5.715 ms
ds4: metal indexer stage layer=30 pos=6144 tokens=2048 comp=2048 topk=1.302 ms
ds4: metal indexer stage layer=30 pos=6144 tokens=2048 comp=2048 attention=27.021 ms
ds4: metal indexer stage layer=32 pos=6144 tokens=2048 comp=2048 score=6.348 ms
ds4: metal indexer stage layer=32 pos=6144 tokens=2048 comp=2048 topk=1.262 ms
ds4: metal indexer stage layer=32 pos=6144 tokens=2048 comp=2048 attention=26.583 ms
ds4: metal indexer stage layer=34 pos=6144 tokens=2048 comp=2048 score=5.724 ms
ds4: metal indexer stage layer=34 pos=6144 tokens=2048 comp=2048 topk=1.261 ms
ds4: metal indexer stage layer=34 pos=6144 tokens=2048 comp=2048 attention=27.072 ms
ds4: metal indexer stage layer=36 pos=6144 tokens=2048 comp=2048 score=5.692 ms
ds4: metal indexer stage layer=36 pos=6144 tokens=2048 comp=2048 topk=1.322 ms
ds4: metal indexer stage layer=36 pos=6144 tokens=2048 comp=2048 attention=26.697 ms
ds4: metal indexer stage layer=38 pos=6144 tokens=2048 comp=2048 score=5.741 ms
ds4: metal indexer stage layer=38 pos=6144 tokens=2048 comp=2048 topk=1.262 ms
ds4: metal indexer stage layer=38 pos=6144 tokens=2048 comp=2048 attention=26.863 ms
ds4: metal indexer stage layer=40 pos=6144 tokens=2048 comp=2048 score=5.721 ms
ds4: metal indexer stage layer=40 pos=6144 tokens=2048 comp=2048 topk=1.262 ms
ds4: metal indexer stage layer=40 pos=6144 tokens=2048 comp=2048 attention=27.185 ms
ds4: metal indexer stage layer=42 pos=6144 tokens=2048 comp=2048 score=5.748 ms
ds4: metal indexer stage layer=42 pos=6144 tokens=2048 comp=2048 topk=1.262 ms
ds4: metal indexer stage layer=42 pos=6144 tokens=2048 comp=2048 attention=26.862 ms
ds4: metal indexer stage layer=2 pos=8192 tokens=1 comp=2048 decode_score=0.054 ms
