ds4-bench: context buffers 1896.58 MiB (ctx=100000, backend=cuda, prefill_chunk=2048, raw_kv_rows=2304, compressed_kv_rows=25002)
ds4: metal layer stage part=decode layer=4 pos=8192 tokens=1 compressor_indexer=0.278 ms
ds4: metal layer stage part=decode layer=4 pos=8192 tokens=1 attention=0.187 ms
ds4: metal layer stage part=decode layer=4 pos=8192 tokens=1 attn_output=0.317 ms
ds4: metal layer stage part=decode layer=4 pos=8192 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=4 pos=8192 tokens=1 ffn_hc_pre=0.025 ms
ds4: metal layer stage part=decode layer=4 pos=8192 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=4 pos=8192 tokens=1 router=0.028 ms
ds4: metal layer stage part=decode layer=4 pos=8192 tokens=1 routed_moe=0.350 ms
ds4: metal layer stage part=decode layer=4 pos=8192 tokens=1 shared_gate_up=0.088 ms
ds4: metal layer stage part=decode layer=4 pos=8192 tokens=1 shared_down=0.051 ms
ds4: metal layer stage part=decode layer=4 pos=8192 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=5 pos=8192 tokens=1 attn_hc_pre=0.030 ms
ds4: metal layer stage part=decode layer=5 pos=8192 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=5 pos=8192 tokens=1 q_path=0.214 ms
ds4: metal layer stage part=decode layer=5 pos=8192 tokens=1 kv_path=0.013 ms
ds4: metal layer stage part=decode layer=5 pos=8192 tokens=1 compressor_indexer=0.052 ms
ds4: metal layer stage part=decode layer=5 pos=8192 tokens=1 attention=0.106 ms
ds4: metal layer stage part=decode layer=5 pos=8192 tokens=1 attn_output=0.322 ms
ds4: metal layer stage part=decode layer=5 pos=8192 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=5 pos=8192 tokens=1 ffn_hc_pre=0.026 ms
ds4: metal layer stage part=decode layer=5 pos=8192 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=5 pos=8192 tokens=1 router=0.028 ms
ds4: metal layer stage part=decode layer=5 pos=8192 tokens=1 routed_moe=0.362 ms
ds4: metal layer stage part=decode layer=5 pos=8192 tokens=1 shared_gate_up=0.095 ms
ds4: metal layer stage part=decode layer=5 pos=8192 tokens=1 shared_down=0.054 ms
ds4: metal layer stage part=decode layer=5 pos=8192 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=6 pos=8192 tokens=1 attn_hc_pre=0.029 ms
ds4: metal layer stage part=decode layer=6 pos=8192 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=6 pos=8192 tokens=1 q_path=0.226 ms
ds4: metal layer stage part=decode layer=6 pos=8192 tokens=1 kv_path=0.014 ms
ds4: metal layer stage part=decode layer=6 pos=8192 tokens=1 compressor_indexer=0.269 ms
ds4: metal layer stage part=decode layer=6 pos=8192 tokens=1 attention=0.175 ms
ds4: metal layer stage part=decode layer=6 pos=8192 tokens=1 attn_output=0.358 ms
ds4: metal layer stage part=decode layer=6 pos=8192 tokens=1 attn_hc_post=0.001 ms
