row,rows,ctx_first,ctx_last,gen_first,gen_8192,gen_last,gen_mean,gen_max,gen_ss_mean,prefill_mean,prefill_max
exact_fast,1,8192,8192,16.0,16.0,16.0,16.0,16.0,16.0,393.48,393.48
shared_gate_up_cache_x,1,8192,8192,15.88,15.88,15.88,15.88,15.88,15.88,389.76,389.76
