row,rows,ctx_first,ctx_last,gen_first,gen_8192,gen_last,gen_mean,gen_max,gen_ss_mean,prefill_mean,prefill_max
exact_fast,1,8192,8192,16.04,16.04,16.04,16.04,16.04,16.04,392.32,392.32
weight_tensor_align2m,1,8192,8192,15.95,15.95,15.95,15.95,15.95,15.95,391.36,391.36
