row,rows,ctx_first,ctx_last,gen_first,gen_8192,gen_last,gen_mean,gen_max,gen_ss_mean,prefill_mean,prefill_max
exact_fast,1,8192,8192,16.48,16.48,16.48,16.48,16.48,16.48,393.31,393.31
graph_reuse_unsafe,1,8192,8192,17.1,17.1,17.1,17.1,17.1,17.1,390.07,390.07
