ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,388.38,128,18.92,70.153,127,19.09,52184460
10240,8192,372.74,128,16.03,63.056,127,16.12,164939148
18432,8192,358.07,128,15.98,63.121,127,16.07,277693836
26624,8192,345.37,128,15.81,64.853,127,15.90,390448524
34816,8192,331.13,128,15.19,66.166,127,15.27,503203212
43008,8192,313.70,128,15.03,68.994,127,15.12,615957900
51200,8192,303.70,128,14.88,67.674,127,14.96,728712588
59392,8192,293.46,128,14.72,68.229,127,14.79,841467276
65536,6144,287.16,128,14.61,69.857,127,14.68,0
