ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,388.30,128,19.37,68.411,127,19.55,52184460
10240,8192,355.08,128,16.06,63.819,127,16.15,164939148
18432,8192,342.19,128,15.99,63.391,127,16.08,277693836
26624,8192,331.04,128,15.82,64.592,127,15.91,390448524
34816,8192,318.59,128,15.23,66.767,127,15.32,503203212
43008,8192,303.06,128,15.09,68.869,127,15.17,615957900
51200,8192,293.57,128,14.93,68.172,127,15.01,728712588
59392,8192,284.39,128,14.77,68.857,127,14.85,841467276
65536,6144,278.45,128,14.65,68.460,127,14.72,0
