ds4: context buffers 1896.58 MiB (ctx=100000, backend=cuda, prefill_chunk=2048, raw_kv_rows=2304, compressed_kv_rows=25002)
ds4: metal layer stage part=decode layer=3 pos=24 tokens=1 compressor_indexer=0.051 ms
ds4: metal layer stage part=decode layer=3 pos=24 tokens=1 attention=0.046 ms
ds4: metal layer stage part=decode layer=3 pos=24 tokens=1 attn_output=0.326 ms
ds4: metal layer stage part=decode layer=3 pos=24 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=3 pos=24 tokens=1 ffn_hc_pre=0.025 ms
ds4: metal layer stage part=decode layer=3 pos=24 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=3 pos=24 tokens=1 router=0.030 ms
ds4: metal layer stage part=decode layer=3 pos=24 tokens=1 routed_moe=0.355 ms
ds4: metal layer stage part=decode layer=3 pos=24 tokens=1 shared_gate_up=0.092 ms
ds4: metal layer stage part=decode layer=3 pos=24 tokens=1 shared_down=0.054 ms
ds4: metal layer stage part=decode layer=3 pos=24 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=4 pos=24 tokens=1 attn_hc_pre=0.029 ms
ds4: metal layer stage part=decode layer=4 pos=24 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=4 pos=24 tokens=1 q_path=0.213 ms
ds4: metal layer stage part=decode layer=4 pos=24 tokens=1 kv_path=0.013 ms
ds4: metal layer stage part=decode layer=4 pos=24 tokens=1 compressor_indexer=0.116 ms
ds4: metal layer stage part=decode layer=4 pos=24 tokens=1 attention=0.076 ms
ds4: metal layer stage part=decode layer=4 pos=24 tokens=1 attn_output=0.322 ms
ds4: metal layer stage part=decode layer=4 pos=24 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=4 pos=24 tokens=1 ffn_hc_pre=0.026 ms
ds4: metal layer stage part=decode layer=4 pos=24 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=4 pos=24 tokens=1 router=0.029 ms
ds4: metal layer stage part=decode layer=4 pos=24 tokens=1 routed_moe=0.362 ms
ds4: metal layer stage part=decode layer=4 pos=24 tokens=1 shared_gate_up=0.096 ms
ds4: metal layer stage part=decode layer=4 pos=24 tokens=1 shared_down=0.051 ms
ds4: metal layer stage part=decode layer=4 pos=24 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=5 pos=24 tokens=1 attn_hc_pre=0.028 ms
ds4: metal layer stage part=decode layer=5 pos=24 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=5 pos=24 tokens=1 q_path=0.212 ms
ds4: metal layer stage part=decode layer=5 pos=24 tokens=1 kv_path=0.016 ms
ds4: metal layer stage part=decode layer=5 pos=24 tokens=1 compressor_indexer=0.054 ms
