row,rows,ctx_first,ctx_last,gen_first,gen_8192,gen_last,gen_mean,gen_max,gen_ss_mean,prefill_mean,prefill_max
exact_fast,1,8192,8192,16.05,16.05,16.05,16.05,16.05,16.05,388.15,388.15
graph,1,8192,8192,15.72,15.72,15.72,15.72,15.72,15.72,390.33,390.33
plain,1,8192,8192,15.87,15.87,15.87,15.87,15.87,15.87,392.29,392.29
soa,1,8192,8192,16.07,16.07,16.07,16.07,16.07,16.07,388.55,388.55
